joy,"[ On days when I feel close to my partner and other friends.  á
When I feel at peace with myself and also experience a close á
contact with people whom I regard greatly.]"
fear,"Every time I imagine that someone I love or I could contact a á
serious illness, even death."
anger,"When I had been obviously unjustly treated and had no possibility á
of elucidating this."
sadness,"When I think about the short time that we live and relate it to á
the periods of my life when I think that I did not use this á
short time."
disgust,"At a gathering I found myself involuntarily sitting next to two á
people who expressed opinions that I considered very low and á
discriminating."
shame,"When I realized that I was directing the feelings of discontent á
with myself at my partner and this way was trying to put the blame á
on him instead of sorting out my own feeliings."
guilt,"I feel guilty when when I realize that I consider material things á
more important than caring for my relatives.  I feel very á
self-centered."
joy,"After my girlfriend had taken her exam we went to her parent's á
place."
fear,"When, for the first time I realized the meaning of death."
anger,"When a car is overtaking another and I am forced to drive off the á
road."
sadness,"When I recently thought about the hard work it takes to study, and  á
how one wants to try something else.  When I read a theoretical á
book in English that I did not understand."
disgust,When I found a bristle in the liver paste tube.
shame,"When I was tired and unmotivated, I shouted at my girlfriend and á
and brought up negative sides of her character which are actually á
not so important."
guilt,"When I think that I do not study enough.  After the weekend I á
think that I should have been able to have accomplished á
something during that time."
joy,When I pass an examination which I did not think I did well.
fear,"When one has arranged to meet someone and that person arrives á
late, in the meantime one starts thinking about all that could á
have gone wrong e.g a traffic accident."
anger,When one is unjustly accused of something one has not done.
sadness,When one's studies seem hopelessly difficult and uninteresting.  
disgust,"When one finds out that someone you know is not at all like one á
had thought, for instance friends who steal and things like that, á
quite unwarranted."
shame,"When one has been unjust, stupid towards someone else. "
guilt,When one has neglected or been unjust to a good friend.
joy,Passing an exam I did not expect to pass.
fear,"When I climbed up a tree to pick apples.  The angle of the ladder á
I was on did not enable me to get high enough.  This implied á
that the ladder was not very stable."
anger,Friends who torture animals.
sadness,[ Same as in anger.]
disgust,Friends who torture animals.
shame,[ Same as above - friends who torture animals.]
guilt,[ When excuses are necessary and I get out of doing it myself.]
joy,When I had my children.
fear,"When my 2 year old son climbed up and sat on the 7th floor á
balcony with his legs hanging out.  He was holding on tightly to á
the upper railing of the balcony but he could have easily lost á
his balance when he sat down."
anger,When my partner was attacked and lost three teeth.
sadness,"When I see children on T.V from areas devastated by drought and á
war."
disgust,When I nearly walked on a blindworm and then saw it crawl away.
shame,"When I saw my 18 year old son grab an oxygen mask as he had á
breathing difficulties.  I had a bad conscience because I had not á
stopped smoking.  Medication for the dilation of his breathing á
tubes also caused a sense of guilt in me."
guilt,"I experience a sense of guilt as my middle son cannot express á
himself like other children, neither verbally nor in writing."
joy,When my child was born.
fear,"It was winter/spring and the ice was melting.  I was far out on a á
jetty and I poked the ice with a long branch to try and break it. á
 The branch went through the ice and I fell in, the water closed á
in over my head."
anger,"Unjust accusations directed at me and my way of acting, by á
someone close to me.  "
sadness,Failing an examination.
disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that á
turned into sadness-unpleasantness."
shame,"When, as an adult I have been caught lying or behaving badly."
guilt,"When I am in an environment or with a person much worse off than á
me, I realize how privileged I am."
joy,When I saw a person I had not seen for a long time.
fear,"When, as a child, I was nearly knocked down by a car."
anger,"When I heard on the radio that the football match in Belgium had á
ended in a catastrophe, and several people had died.  I could not á
 understand how normal people could behave in such a way."
sadness,"When I feel lonely, perhaps because I have to study a lot and I á
am shut up in my appartment.  Nothing happens in particular á
because there is no time for anything else."
disgust,"When one learns through the mass media all the wars and killing á
going on in the world."
shame,"I lied, to be precise I cancelled a meeting with a good friend."
guilt,When one lets friends down
joy,When I was accepted for a course on finance and accounting.
fear,"A bus drove over my right leg.  The event itself was not very á
frightening but when I had to wait in the emergency ward for á
three hours and then my leg began to swell, I was frightened."
anger,"At my Summer job, nobody looked after me in particular and I had á
to learn all on my own."
sadness,When I was not accepted as a student in finance and accounting.
disgust,"When I had just moved into my new appartment I found a ventilator á
in the kitchen.  I was going to clean it when I found that the á
drum was full of mud and slime.  I felt disgusted."
shame,"My elder brother and I have not always had a good relationship á
and I feel ashamed of myself as I do not call him to talk to him á
nowadays."
guilt,"At my Summer job a new caretaker had been employed who was my age á
 but I preferred going out for lunch with the accounts personnel á
rather than with him."
joy,Passed an exam by 2 points.
fear,"In a cottage in a large forest, I was alone for a while in the á
dark."
anger,When I spoke to Jan-Erik Wikstr÷m on the telephone. 
sadness,Railway station good-bye.
disgust,"I saw a cripple in rags with small children in Italy.  He was á
probably an imposter."
shame,"I told a friend that I was going to a party and he would not á
enjoy himself if he came along.  He understood  that he would not á
have fitted in and there was something in that."
guilt,"I was the reason behind the break-up of my friend's relationship á
with his girlfriend.  She finished with him."
joy,I passed an exam that I was absolutely certain that I had failed.
fear,"On the way back from Denmark with a friend on a small yatch, á
there was a storm and my friend was blown overboard;  I was very á
scared till I managed to get him back onboard."
anger,I locked myself out.
sadness,I missed the last tram home and had to walk in the pouring rain.
disgust,I found some worms in the food and I had obviously eaten some.
shame,"My friend was so intoxicated that the police came and took him á
away, and they later contacted his parents."
guilt,I hapened to overhear something which I was not meant to hear.
joy,When I won a trip to Greece in a competition.
fear,"When I am out in the dark and a suspicious looking character á
comes towards me."
anger,"At work, when an elderly man complained unjustifiably about me and á
distrusted me."
sadness,When I had not understood anything after a lecture.
disgust,When an alcoholic stood dribbling over a food counter.
shame,"When my friend and I were discussing the good looks of a guy we á
realized that he had been listening."
guilt,"When I complained about a colleague to the manager and he told á
her that someone had complained; this colleague came to me á
believing that I liked her."
joy,"At a friend's birthday party with some of my closest friends.  It á
was all very pleasant and one could say that I was happy to have á
such good friends."
fear,"On the way home one Friday night in the heavy rain the car á
acquaplanned.  I lost contact with the road surface for a few á
seconds."
anger,Mad at my dad.
sadness,A case of unrequited love.
disgust,A bad smelling cucumber.
shame,Nearly caught masturbating.
guilt,I do not help out enough at home.
joy,I felt very happy when I won the football pools.
fear,"When I flew from Athens to Copenhagen after a holiday.  The plane á
was caught in a storm and it began to shake and I thouhght that á
we were going to crash."
anger,When someone stole my bike.
sadness,"When I saw the list of books to read for an acccouting course, I á
thought "" Oh God how will I ever manaage it!"""
disgust,"It was when I read a newspaper article on the future and they á
foresaw that we would be eating frog-burgers by the year 2000.  á
An illustration showed a frog between two pieces of bread."
shame,"When I dropped a bottle in the state liquor store and everyboby á
started laughing."
guilt,"When I was young - 14, I pinched from a store and was caught.  á
The store then contacted my parents."
joy,"When the whole family gets together for a one week holiday.  á
Everybody feels free and the trip is well planned.  It works out á
well and we enjoy ourselves."
fear,"When I could not find my 2 year old daughter.  I ran and looked á
for her everywhere and could not find her.  (I finally found her, á
she had gone to bed to sleep)"
anger,When friends try to put me down or hurt me.  
sadness,Marriage crises.  Boredom.
disgust,When someone makes advances that one does not want.
shame,The discovery that one has only thought of oneself.
guilt,When I spanked a child in anger and later regretted it terribly.
joy,When I passed the first examination that I had to repeat.
fear,"When I drove to Stockholm for the first time and drove off the á
Stora Hissingen road at the wrong exit."
anger,When my boyfriend went away for a month long holiday without me.
sadness,"Last year when I worked during the Summer holidays and studied á
at the same time for an examination I had to repeat; my boyfriend á
went to Greece for a holiday for a month."
disgust,When a dog is left whining outside a shop.
shame,"When I promised to help a friend over a weekend and did not keep á
the promise."
guilt,When I realized that I had three more examinations to take.
joy,"The day I was told that I had been accepted as a student of á
economics."
fear,"While taking a short cut through the Vasa park, I was surrounded á
by three people who tried to steal my money.  I was scared and á
was saved only by the appearance of other people."
anger,"At a restaurant I observed how the gypsies tried to get money by á
cheating the foreigners i.e non Swedish speaking.  My anger had á
nothing to do with hatred against foreigners, but it was an á
expression of the anger I feel when I see people being used ."
sadness,"At the begining of a new course one is afraid of encountering á
problems one can not manage.  Thoughts revolve around failing á
the subject and the consequences it would have for the future."
disgust,"While walking in town I noticed how the police harrassed a man á
who was under the influence of alcohol.  They terrified him with á
the thought of arrest by driving close behind him on a pedestrian á
street.  My disgust was directed at the gestures and the facial á
expressions of the policemen; they seemed to be enjoying á
themselves."
shame,"When my boyfriend revealed that he knew that I had discovered á
things of an important nature about him, I felt ashamed as I had á
not mentioned it earlier."
guilt,"When I am dishonest to a friend to whom I am very close.  I á
feel guilty because I know that he gives a different version of á
the truth and I have not corrected these mistakes, and he is á
aware that I know that they are wrong."
joy,"When I found out that I had passed the last two exams by a á
margin of three marks."
fear,When my father was ill and was waiting for the results of his tests.
anger,"When I got caught in the pouring rain last Thursday and did not á
have a raincoat on me."
sadness,When I failed an exam.
disgust,"At a Sm÷rgasbord table, a man mixed differnet kinds of picked á
herrings with fruit salad."
shame,"When I had not prepared my contribution to the group as á
thoroughly as the other members, with the result that the á
overall result was poor."
guilt,"When my father and I worked on the house just after he had á
recovered from illness, I was rather lazy.  This meant that he á
had to work hard and was not very well later."
joy,"When I gave birth to my son and saw that he was alive and that I á
had managed it well.  He was born a month too early with a á
malfunctioning lung.  This happened a year ago."
fear,"When I found out that my father had lung cancer and they did not á
know how long he would live."
anger,"When a colleague asked me for help at work, despite the fact á
that he had more time to do it than I had."
sadness,"When I did not get the salary increase that I had been expecting á
and understood how little one's work was appreciated."
disgust,When I was weeding the garden I found a lizard in my hand.
shame,"When I met a friend whom I had not seen for a long time and á
heard all about her troubles, I thought that I should have got á
in touch with her earlier."
guilt,"I got angry at my mother for something trivial.  We were in a á
bad mood because my father was very ill and I knew that my mother á
really needed support.  I had reacted wrongly."
joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the á
steps outside her parents home and I kissed her for the á
first time."
fear,"When I was stopped by plain clothes policemen because the car I á
was driving had overturned on the Avenue.  I had been driving too á
fast, and I was afraid when I was stopped, questionned and then á
toild to go.  The situation ended happily since there were no á
consequences."
anger,"The editor changed the heading of an article that I had written.  á
He considered the heading to be derogatory towards the person I had written á
about."
sadness,"A close acquaintance of the family died of lung cancer.  á
Although it was expected, I still felt depressed."
disgust,"When I saw a picture, in the Gothenburg Post, of a totally á
demolished car with two fatally injured passengers.  The car was á
so badly damaged that they couldn't get the bodies out at the á
scene of the accident."
shame,"One night I had a sexual intercourse with another man.  My sexual á
desire and my curiosity had made me jump into bed with him.  I am á
ashamed of myself now."
guilt,"Due to laziness, I failed the term studies completely at á
University.  I also wanted, to some extent, to protest against my á
parents' expectations."
joy,When I got the loan for my studies.
fear,"I met intoxicated people with dubious intentions in a back alley á
one Wednesday night."
anger,"On the T.V I saw a news feature on South Africa.  A policeman      á
attacked a group of black people with a whip."
sadness,"The thought of having to read a boring book of 400 pages in á
English."
disgust,Grovelling people.
shame,My inability to assert myself positively in a group.
guilt,I experience feelings of guilt because I do not study enough.
disgust,"Observing someone in the cafeteria noisily gulping in his food, á
having extremely bad manners."
shame,"I guess I have often been ashamed after having talked badly of á
other people."
guilt,Having been angry and unpleasant towards my parents.
joy,"When my sister - after a history of one abortion and one á
stillbirth - gave birth to a perfectly healty boy."
fear,"When my sister had the still born child, she was emotionally very á
deep down, and it took her a long time to recover."
anger,"We were starting a student project, and the teacher we talked to á
was very negative and not very helpful."
sadness,"When my boyfriend openly let me down, preferring another girl."
disgust,"I felt some disgust for my boyfriend for a time, after he had á
left me."
shame,Can't think of any.
guilt,"Before an accident, my aunt offered me the front seat of the car, á
next to the driver. I declined, she took that seat and was killed á
there when the car crashed."
joy,"Unexpected visit by a close friend, whom I hadn't seen for half a á
year."
fear,"I wandered by mistake into the safety zone of a shooting range, á
and was shot at."
anger,Being treated unfairly.
sadness,Breaking up with a girl.
disgust,Nothing.
shame,None.
guilt,Little contact with my father before he died.
joy,"When I was accepted as a student at the college, not having á
thought it possible."
fear,"When I was the first to arrive at the scene after an accident, á
and found that a close school friend had been killed."
anger,"I was accused of having done something, which I hadn't and got á
very angry."
sadness,When my grandmother died.
disgust,Not applicable.
joy,"A couple of years ago during the summer holiday, I was fishing at á
a lake with my husband.  Suddenly it started raining while the á
sun was still shining. I experienced a feeling of joy, happiness á
and fulfillment.  the whole nature was full of music."
fear,"I was alone at home, in bed reading a womens' magazine in which á
there were storiees of paranormal experiences.  My leg was á
itching and I stretched my hand to scratch and I felt another á
strange hand. (later I realized that it was the corner of the á
blanket)"
anger,"I went to a lecture and once again it had been cancelled, this á
was the second time.  One had a negative attitude towards the á
lecturer.á
"
sadness,"I heard that a former superior of mine had died, I was later at á
home home reading about it in the newspaper and I thought of our á
interaction and how it was no longer possible.  The limited scope á
of human life is sad."
disgust,"In the tram there was a fat, sickly looking woman in front of me á
who was asking for directions in a thick voice.  When she got up to á
go a disgusting smell of urine came from her.  I felt that I á
would choke."
shame,"When we were at home, my husband and I, he made a remark about á
something I had done, in a perfectly friendly manner.  My deed á
had been unjust and I knew that my husband was right, therefore my á
sense of shame."
guilt,"I made a remark to my sister concerning her attitude to men, the á
way she talked and I compared her to an acquaintance of mine.  á
Later, the same evening, my sister looked sad.  I felt guilty á
about her sadness."
joy,"I had a summer job in Sweden, and my boyfriend came to meet me on á
my birthday."
fear,"I went to practice in Sweden during summer, and I was afraid that á
I would not do well."
anger,"In the holiday cottage of our association, two of my pals came to á
wake me up early one morning by bringing a radio played at the á
highest volume into my room - it was the morning service at its á
loudest."
sadness,My grandmother died suddenly last summer.
disgust,"My superior at the summer job swindled customers as much as he á
could, and once put me in a difficult situation after which I á
could not but detest him."
shame,"Once I arrived two hours late to my work place (a bank) and I was á
still feeling feeble and tired."
guilt,"Our association had Polish visitors and when they were going back á
by boat I did not go to see them off (I am the chairman of the á
association)."
joy,"I was told quite unexpectedly that one wanted me to become the á
vice-chairman of our student organisation.  I was really á
surprised and joy was the first emotion I felt, though behind it á
there was worry - how shall I succeed ?"
fear,"Our tutorial group was soon to be divided, and we got a list of á
names of freshmen, out of which five were to be in my group.  We á
read the names and then each group went its own way to a seminar á
room.  I wondered how I would cope with the new situation and if á
I would succeed as a group leader."
anger,"We were in a disco and the evening was not at all pleasant.  á
Despite my not knowing why, I was angry with my companion.  I let á
him feel my bad humour as I cannot hide my feelings."
sadness,"My grandmother died, and my mother called me one sunday morning á
in the Autumn.  The way my mother told me about it, I hated her á
at that moment.  She sounded as if she had been waiting for the á
death of my grandmother.  I had lost a person close to me.  I á
felt guilty too as I had been bad to my grandmother of late.  I had not á
remained calm when she no longer understood everything so well."
disgust,"At the underground station, a drunkard came to speak to me.  He á
tried to ask me something but I did not answer so he began to á
speak about me with his companion.  I detested this dirty á
growling man."
shame,"I was worried by a task related to my studies which had to be á
done in groups of two.  I was talking about it to my friends when á
I said something negative, in too abrupt a manner, concerning my á
work partner.  I did not quite mean what I said and I felt á
ashamed at having been mean enough to criticize him as he is also á
a friend of mine."
guilt,"I had told my boyfriend that I did not want to go on with our á
relationship.  I knew that I was important to him but I wanted to á
be free.  I saw that this was difficult for him but I remained á
firm and did not change my mind."
joy,"Last night I had a chat with a fellow student.  I had known her á
for about half a year, and for the first time we were speaking á
""the same language""- meaning an inspiring discussion and á
encounter."
anger,"[ I sometimes quarrel with my mother because she blames me, á
though I have not in any way been connected to some events.]"
sadness,"After hearing about the death of my grandfather.  First I could á
not believe it, but later I wept and felt the situation was á
hopeless.  I felt lonely and wanted to be consolated."
disgust,"In the evening, while I was watching TV, my little brother came á
in and started eating food he had brought from the kitchen while á
I was trying to concentrate on the program."
shame,"My little brother was arrested by the police at the railway station after á
he had drunk some beer."
guilt,"At my temporary job, I have to restrict  others' actions and make á
them obey me, and this very often gives me  a feeling of guilt.  I á
wish there could be some other way of acting."
joy,"I met a dear friend of mine after a long time.  I expressed my feelings á
in our own usual way, by mutual scolding and abusing (with á
complete understanding) and by touching, patting and taking the á
hand of the other person, etc..."
fear,"I felt fear of the purest kind after a car accident.  The á
incident and images of horror kept coming back to my mind.  I á
wondered what could have happened to my sister, my friend and me, á
though nothing very serious actually happened."
anger,"Two boys whom I know were telling me, in an indecent manner, how á
they had teased a young and shy girl I know.  They had despised á
her conviction, scorned and touched her.  I got very angry and á
did not try to conceal it and gave it back to them."
sadness,"My sweetheart left me, or rather we decided to break it off by á
mutual consent.  The consequences were - unrestrained weeping, á
feelings of loneliness, hopelessness and disconsolation.  I felt á
that I should find a friend, to talk to joyfully and to forget."
disgust,"Out of sheer curiosity, I went to see a pornographic movie in á
Copenhagen.  The room was full of men, who panted and á
masturbated.  Very disgusting."
shame,"After having quarelled unnecessarily and without any reason, and á
having been stupidly cross in every way."
shame,[ Do not know.]
guilt,Forced to fill in a questionnaire.
joy,When I won a tennis match.
fear,When my dog ran out on thin ice last spring.
anger,"When my tennis match was interrupted because a kid cycled right á
into the court."
sadness,[ No response.]
disgust,[ No response.]
shame,[ No response.]
guilt,[ No response.]
joy,"Celebrations on the graduation day with the orchestra playing in á
the garden ( I am a part of this orchestra)."
fear,Risk of being involved in a fight after a party.
anger,"I had a very heavy work load and two colleagues, whom I have á
nothing against, disturbed me by ""terror ringing"", i.e á
continously interrupting me by telephoning."
sadness,After an exam which I failed.
disgust,[ Normally I do not feel disgusted.]
shame,"When I overtook a car on the mainroad, misjudging the distance of á
an oncoming car and this resulted in tooting and flashing from á
the other driver (we could have collided), and I had an á
acquaintance in the car with me."
guilt,"I saw a neighbour, from the same appartment block as me, lying    á
on the road.  He could have been injured or ill.  I kept 20 á
metres away and did not go to help him."
joy,"When I met an old schhol friend (school love) who works in á
Sk+vde."
fear,"When I was cycling to school, I nearly got knocked down by a car á
which (overtook me too closely) did not give me any swerving space."
anger,"When I was deputy manager during the Summer, certain deputies á
took liberties, more than what was normal."
sadness,"When I realized that my girlfriend, whom I like, and I were going á
to separate."
disgust,Dog dirt which thaws in the spring.
shame,When I forgot my mother's birthday.
guilt,[ Can not think of anything just now.]
joy,Passed the last exam.
fear,Was nearly knocked down by a car.
anger,"I reached the bus stop and realized that I had forgotten my bus á
pass."
sadness,"My current work load is too much.  The feeling comes back from á
time to time."
disgust,[ Can not think of any situation.]
shame,[ No response.]
guilt,[ No response.]
joy,When my one year old son gives me a spontaneous kiss.
fear,When someone close to me is travelling by car and is delayed.
anger,When someone does something wrong which affects me negatively.
sadness,When I think about my parents getting old.
disgust,[ Can not remember.]
shame,[ No response.]
guilt,"I do not have the time for other people's problems.  My á
mother-in-law is sometimes depressed and I do not have the time, á
the desire or the strength to help."
joy,"An ex-colleague asked me if I was interested in working in their á
accounts bureau.  They needed ""clever people"" and he had á
""immediately thought of me."""
fear,"I was driving and a deer suddenly appeared in front of the á
car when there was a lot of traffic behind me."
anger,I saw a report on T.V news on apartheid in South Africa. 
sadness,[ No response.]
disgust,[ No response.]
shame,[ No response.]
guilt,[ No response.]
joy,When my girlfriend became pregnant.
fear,When I nearly collided with another car.
anger,The time when someone let the air out of the tyres of my cycle.
sadness,When I read a lot and did not remember anything.
disgust,[ No response.]
shame,[ No response.]
guilt,The time that I had to put my dog to sleep.
joy,[ No response.]
fear,[ No response.]
anger,[ No response.]
sadness,Long illness.
joy,When I passed an exam.
fear,"When I was travelling by tram, I tripped and fell against the á
door.  I thought that I was going to fall out."
anger,When I missed the tram after having run for it.
sadness,The inability to read a book at college.
disgust,If a guy one is not interested in makes advances.
shame,I drink wine too often.
guilt,I do not study enough as I do not understand it properly.
joy,"I worked at a lawyer's office during Summer and I got a very á
good reference from him."
fear,"I had been watching a triller a dark night in the country and I á
had to go the outside toilet on my own. "
anger,"When I am accused of something I have not done, I get unbelievably á
angry."
sadness,"When I began to read a thick book, which I had a limited time to á
read.  Also when I have a lot of work to do and I cannot keep up."
disgust,Someone vomited on the street.
shame,"I can not think of any incident when I have felt very ashamed.  á
There are small incidents that I am ashamed of, for instance, á
not sending money to the children in Ethiopia."
guilt,"I had lunch with my ex-boyfriend and did not mention it to my á
fiancee.  I felt guilty despite the fact that I felt nothing for á
my ex-boyfriend."
joy,When I was finally qualified for my profession.
fear,Someone attacked me with a knife.
anger,Someone drove into my car and then denied that it had happened.
sadness,When I was told that my friend's wife had cancer.
disgust,When I saw a dog which had been knocked down by a car.
shame,When I boxed my child's ears.
guilt,When I was fined for speeding.
joy,I stopped working (had a boring job).
fear,"I was going home by car late one night when it was cold, dark and á
windy.  I became rather panicky on the way to my house."
anger,Quarrel in the family.
sadness,"When I am alone in a room with no contact with anyone - á
loneliness drains me."
disgust,When I was on holiday someone vomited in front of me.
shame,Emptied a bucket of water in a hospital.
guilt,When I feigned sick leave from work.
joy,When I get a hug from someone I love.
fear,"I was driving very fast on a small road and I met an oncoming car á
in a right handed bend.  The other driver was on his own side of á
the road and I had to skid out of it to avoid a collision.  It á
was dark."
anger,"My car had been towed away by the traffic police because it had á
been wrongly parked.  However the sign had been put up only after á
I had already parked."
sadness,After an operation I had to stay in bed for a long time.
disgust,"I was forced to stay in the canteen and eat the food that I had á
not asked for but got it anyway."
shame,When I did not buy what I had promised to.
guilt,"By mistake I took a book from the library which was not supposed á
to be loaned out."
joy,When I won an unexpected sum of money.
fear,"My 2 year old daughter disappeared in a moment of inattention; I á
was responsible for her."
anger,"A colleague asked me for some advice and as he did not have á
enough confidence in me he asked a third person."
sadness,"I wanted to be pregnant and did not succeed, so I was depressed    á
at every menstruation."
disgust,"In a warm bus full of people, someone vomited and the whole bus á
stank."
shame,"I complained about a colleague's behaviour as she goes back on á
her word, is often absent and is irresponsible.  I found out that á
she was an alcoholic and was trying to fight againt her á
addiction."
guilt,"I spoke to my mother on the phone.  She had skin cancer and was á
waiting to be operated.  I forgot to ask her the date of the á
operation and just before finishing our conversation she gave me á
the date in passing. "
joy,"When I was at a party I met an old friend from an adult á
education course.  We had not met for 2 years but had both thought á
a lot about each other.  A wonderful experience.á
"
fear,"When I was cycling through the park late one night, two people á
jumped out of the woods and tried to stop me.  There were á
shouting something at the same time."
anger,"When close relatives tried to dissuade me from studying á
Psychology because of its low status."
sadness,"I had a long discussion on politics with an acquaintance.  He á
was more knowledgeable than me and I failed to explain my point á
of view and was misunderstood so I felt depressed and left."
disgust,"When I read a newspaper article on a young girl who had been á
raped and assaulted one night by several men when she was unconscious."
shame,"My mother revealed personal details about me and the á
negative aspects of my character to other people when I was á
present but unable to defend myself."
guilt,"I was unfaithful to my partner once when he was working abroad á
for a long period."
joy,When I recently got an appartment in central Gottenburg.
fear,When I saw a large spider crawling up the wall.
anger,"My employer took too many aspirins for a bad back and also drank á
an enormous amount of spirit.  This was dangerous  and he did á
not understand that he had done anything wrong."
sadness,"When I left New York, and all my family and my friends behind me."
disgust,"When I slept with a guy because my best friend wanted me to.  á
He had never had intercourse with anyone and had a terrible á
complex about it."
shame,"When I dated a close girlfriend's boyfriend a few times. He told á
me that it was over between them and I accepted it.  When she á
found out she finished our friendship."
guilt,"When I broke off with my boyfriend after three years.  It was á
quite unexpected for him and there was no particular reason for á
the break up, such as someone else."
joy,"When my son returned from mountaineering - healthy in body and á
soul."
fear,"When one meets new people with whom one is forced to collaborate á
with."
anger,"The sports fishermen who catch gulls instead of fish with their hooks. á
  It is often a mistake but it makes me angry."
sadness,I feel sad about an event I can not influence.
